"";"group";"treatment";"replicate";"strain"
"WT_liquid_5_S44";"WT";"liquid";"5";"WT.5"
"wspF_liquid_1_S35";"wspF";"liquid";"1";"wspF.1"
"wspF_liquid_2_S31";"wspF";"liquid";"2";"wspF.2"
"WT_colony_5_S34";"WT";"colony";"5";"WT.5"
"wspE_colony_5_S39";"wspE";"colony";"5";"wspE.5"
"wspE_colony_1_S50";"wspE";"colony";"1";"wspE.1"
"rph_liquid_3_S22";"rph";"liquid";"3";"rph.3"
"rph_colony_3_S27";"rph";"colony";"3";"rph.3"
"WT_liquid_4_S43";"WT";"liquid";"4";"WT.4"
"wspF_colony_4_S18";"wspF";"colony";"4";"wspF.4"
"wspF_liquid_5_S24";"wspF";"liquid";"5";"wspF.5"
"WT_colony_1_S15";"WT";"colony";"1";"WT.1"
"rph_colony_5_S19";"rph";"colony";"5";"rph.5"
"wspF_colony_1_S45";"wspF";"colony";"1";"wspF.1"
"wspF_liquid_3_S42";"wspF";"liquid";"3";"wspF.3"
"wspF_colony_3_S32";"wspF";"colony";"3";"wspF.3"
"wspF_colony_5_S49";"wspF";"colony";"5";"wspF.5"
"wspE_liquid_5_S54";"wspE";"liquid";"5";"wspE.5"
"wspF_colony_2_S26";"wspF";"colony";"2";"wspF.2"
"wspE_liquid_1_S30";"wspE";"liquid";"1";"wspE.1"
"rph_liquid_5_S29";"rph";"liquid";"5";"rph.5"
"WT_liquid_2_S46";"WT";"liquid";"2";"WT.2"
"rph_liquid_4_S23";"rph";"liquid";"4";"rph.4"
"WT_colony_4_S33";"WT";"colony";"4";"WT.4"
"WT_colony_2_S51";"WT";"colony";"2";"WT.2"
"wspE_liquid_2_S16";"wspE";"liquid";"2";"wspE.2"
"wspE_colony_4_S53";"wspE";"colony";"4";"wspE.4"
"rph_colony_1_S20";"rph";"colony";"1";"rph.1"
"rph_liquid_1_S25";"rph";"liquid";"1";"rph.1"
"rph_colony_2_S41";"rph";"colony";"2";"rph.2"
"WT_liquid_3_S17";"WT";"liquid";"3";"WT.3"
"WT_colony_3_S47";"WT";"colony";"3";"WT.3"
"wspF_liquid_4_S38";"wspF";"liquid";"4";"wspF.4"
"wspE_colony_3_S52";"wspE";"colony";"3";"wspE.3"
"rph_colony_4_S28";"rph";"colony";"4";"rph.4"
"WT_liquid_1_S40";"WT";"liquid";"1";"WT.1"
"wspE_liquid_3_S37";"wspE";"liquid";"3";"wspE.3"
"wspE_colony_2_S21";"wspE";"colony";"2";"wspE.2"
"rph_liquid_2_S36";"rph";"liquid";"2";"rph.2"
"wspE_liquid_4_S48";"wspE";"liquid";"4";"wspE.4"
