Replicate;Typ;Sample;Col;1;2;3;Dilution;Worms;MT;Set
1;W;1;W;32;35;41;3;20;MT14;MT14
1;S;1;W;9;13;9;2;20;MT14;MT14
1;W;2;W;51;54;68;2;20;fimA/usher;fimA/usher+dT
1;S;2;W;8;5;6;2;20;fimA/usher;fimA/usher+dT
1;W;2;dT;12;55;37;2;20;dT;fimA/usher+dT
1;S;2;dT;0;0;2;2;20;dT;fimA/usher+dT
1;W;3;dT;3;3;1;2;20;dT;dT
1;S;3;dT;0;0;0;2;20;dT;dT
1;W;4;W;2;13;4;2;20;pel;pel+dT
1;S;4;W;1;0;0;2;20;pel;pel+dT
1;W;4;dT;2;0;6;2;20;dT;pel+dT
1;S;4;dT;0;0;0;2;20;dT;pel+dT
1;W;5;W;12;17;14;3;20;fli/usher;fli/usher
1;S;5;W;5;20;15;2;20;fli/usher;fli/usher
1;W;6;Al;3;5;4;2;20;MT48;MT48
1;S;6;Al;0;0;0;2;20;MT48;MT48
1;W;7;Al;24;27;37;2;20;MT48;MT48+dT
1;S;7;Al;2;2;6;2;20;MT48;MT48+dT
1;W;7;dT;19;28;23;2;20;dT;MT48+dT
1;S;7;dT;0;3;1;2;20;dT;MT48+dT
1;W;8;W;6;4;3;4;20;MT14;MT14+dT
1;S;8;W;22;15;15;2;20;MT14;MT14+dT
1;W;8;dT;11;0;0;4;20;dT;MT14+dT
1;S;8;dT;0;2;5;2;20;dT;MT14+dT
1;W;9;W;10;19;20;2;20;pel/usher;pel/usher
1;S;9;W;0;1;1;2;20;pel/usher;pel/usher
1;W;10;W;27;30;21;2;20;pel/usher;pel/usher+dT
1;S;10;W;8;10;6;2;20;pel/usher;pel/usher+dT
1;W;10;dT;16;24;15;2;20;dT;pel/usher+dT
1;S;10;dT;9;11;11;2;20;dT;pel/usher+dT
1;W;11;W;16;13;14;4;20;fimA/usher;fimA/usher
1;S;11;W;21;33;29;2;20;fimA/usher;fimA/usher
1;W;12;W;50;67;71;2;20;fli/usher;fli/usher+dT
1;S;12;W;2;5;1;2;20;fli/usher;fli/usher+dT
1;W;12;dT;6;23;23;2;20;dT;fli/usher+dT
1;S;12;dT;0;1;0;2;20;dT;fli/usher+dT
1;W;13;W;8;13;2;2;20;pel;pel
1;S;13;W;3;2;3;2;20;pel;pel
2;W;1;Al;12;34;74;2;20;MT48;MT48+dT
2;S;1;Al;1;0;0;2;20;MT48;MT48+dT
2;W;1;dT;7;29;65;2;20;dT;MT48+dT
2;S;1;dT;0;0;0;2;20;dT;MT48+dT
2;W;2;W;14;12;17;2;20;pel;pel+dT
2;S;2;W;0;0;0;2;20;pel;pel+dT
2;W;2;dT;6;65;73;2;20;dT;pel+dT
2;S;2;dT;3;4;6;2;20;dT;pel+dT
2;W;3;W;50;43;39;3;20;fli/usher;fli/usher+dT
2;S;3;W;0;1;3;2;20;fli/usher;fli/usher+dT
2;W;3;dT;1;13;8;3;20;dT;fli/usher+dT
2;S;3;dT;1;1;1;2;20;dT;fli/usher+dT
2;W;4;W;25;40;33;3;20;fimA/usher;fimA/usher
2;S;4;W;8;8;8;2;20;fimA/usher;fimA/usher
2;W;5;W;62;45;63;3;20;MT14;MT14
2;S;5;W;47;48;49;3;20;MT14;MT14
2;W;6;Al;9;23;27;3;20;MT48;MT48
2;S;6;Al;9;4;8;2;20;MT48;MT48
2;W;7;W;7;4;9;2;20;pel/usher;pel/usher+dT
2;S;7;W;1;1;0;2;20;pel/usher;pel/usher+dT
2;W;7;dT;5;1;0;2;20;dT;pel/usher+dT
