"well","id"
"A1"," "
"B1","9"
"C1","13"
"D1"," "
"E1"," "
"F1","14"
"G1"," "
"H1"," "
"A2"," "
"B2"," "
"C2","6"
"D2","7"
"E2"," "
"F2"," "
"G2","4"
"H2","10"
"A3","2"
"B3","13"
"C3"," "
"D3"," "
"E3"," "
"F3","14"
"G3","14"
"H3"," "
"A4","2"
"B4"," "
"C4","1"
"D4","6"
"E4"," "
"F4","8"
"G4"," "
"H4","5"
"A5","7"
"B5"," "
"C5","6"
"D5"," "
"E5","4"
"F5"," "
"G5"," "
"H5"," "
"A6"," "
"B6"," "
"C6"," "
"D6","13"
"E6"," "
"F6","3"
"G6","5"
"H6","1"
"A7"," "
"B7"," "
"C7"," "
"D7","3"
"E7","11"
"F7"," "
"G7"," "
"H7"," "
"A8"," "
"B8"," "
"C8","9"
"D8"," "
"E8","8"
"F8"," "
"G8"," "
"H8"," "
"A9","2"
"B9","3"
"C9"," "
"D9"," "
"E9","11"
"F9"," "
"G9","9"
"H9"," "
"A10"," "
"B10","10"
"C10","12"
"D10","8"
"E10"," "
"F10"," "
"G10"," "
"H10","1"
"A11"," "
"B11","11"
"C11","4"
"D11","12"
"E11","7"
"F11"," "
"G11"," "
"H11"," "
"A12","12"
"B12","10"
"C12","5"
"D12"," "
"E12"," "
"F12"," "
"G12"," "
"H12"," "
