well;id
A1; 
B1; 
C1; 
D1; 
E1;5
F1;9
G1; 
H1; 
A2; 
B2;10
C2; 
D2;6
E2;11
F2; 
G2; 
H2;4
A3; 
B3; 
C3; 
D3; 
E3;6
F3;3
G3; 
H3;8
A4; 
B4;12
C4; 
D4; 
E4; 
F4; 
G4;2
H4; 
A5;7
B5; 
C5; 
D5;13
E5;2
F5;9
G5;10
H5; 
A6;14
B6;14
C6; 
D6;1
E6;8
F6;12
G6;12
H6; 
A7; 
B7;11
C7; 
D7; 
E7; 
F7;13
G7; 
H7;2
A8;7
B8; 
C8;13
D8; 
E8; 
F8;7
G8; 
H8;11
A9; 
B9; 
C9;3
D9;3
E9; 
F9; 
G9; 
H9;4
A10; 
B10;10
C10; 
D10; 
E10; 
F10;5
G10; 
H10; 
A11;4
B11;5
C11;1
D11; 
E11; 
F11;1
G11;14
H11; 
A12;6
B12;9
C12;
D12;
E12;8
F12; 
G12; 
H12; 
