"";"category";"ID";"Description";"setSize";"enrichmentScore";"NES";"pvalue";"p.adjust";"qvalue";"rank";"leading_edge";"core_enrichment";"gene.descriptions"
"GO:0004888";"MF";"GO:0004888";"transmembrane signaling receptor activity";4;-0,77;-1,79845846685487;0,015557646273533;0,0855670545044314;0,0736941139272615;28;"tags=100%, list=27%, signal=76%";"CLM75_RS10415/CLM75_RS14715/CLM75_RS08940";"chemotaxis protein/PAS domain S-box protein/methyl-accepting chemotaxis protein"
"GO:0022857";"MF";"GO:0022857";"transmembrane transporter activity";3;-0,801980198019802;-1,6862234531248;0,0146763852645747;0,0855670545044314;0,0736941139272615;24;"tags=100%, list=23%, signal=79%";"CLM75_RS16230/CLM75_RS04925";"sugar transporter/RND transporter"
"GO:0003774";"MF";"GO:0003774";"motor activity";3;0,742574257425743;1,4392815176423;0,0565693430656934;0,207420924574209;0,178640030733769;29;"tags=100%, list=28%, signal=74%";"CLM75_RS19415/CLM75_RS19420/CLM75_RS19550";"flagellar motor switch protein FliN/flagellar motor switch protein FliM/flagellar basal body L-ring protein FlgH"
"GO:0016746";"MF";"GO:0016746";"transferase activity, transferring acyl groups";2;0,791577882640213;1,33048081108435;0,0874524714828897;0,240494296577947;0,207124274564739;1;"tags=50%, list=1%, signal=50%";"CLM75_RS04990";"MBOAT family protein"
"GO:0015562";"MF";"GO:0015562";"efflux transmembrane transporter activity";2;-0,675941255016044;-1,1899622935181;0,273858921161826;0,482726423902894;0,415745245466608;5;"tags=100%, list=5%, signal=97%";"CLM75_RS04925";"RND transporter"
"GO:0043565";"MF";"GO:0043565";"sequence-specific DNA binding";3;-0,554455445544555;-1,16578411574061;0,26797385620915;0,482726423902894;0,415745245466608;49;"tags=100%, list=47%, signal=54%";"CLM75_RS09685/CLM75_RS03705";"AraC family transcriptional regulator/AAA family ATPase"
"GO:0005524";"MF";"GO:0005524";"ATP binding";3;-0,528728012218093;-1,11169025959441;0,30718954248366;0,482726423902894;0,415745245466608;22;"tags=67%, list=21%, signal=54%";"CLM75_RS25545/CLM75_RS03705";"dethiobiotin synthase/AAA family ATPase"
"GO:0050660";"MF";"GO:0050660";"flavin adenine dinucleotide binding";2;-0,533937051666239;-0,939970676268265;0,549792531120332;0,755964730290457;0,651070102642498;9;"tags=100%, list=9%, signal=93%";"CLM75_RS04305";"acyl-CoA dehydrogenase"
"GO:0003677";"MF";"GO:0003677";"DNA binding";2;-0,431372549019608;-0,759410768292191;0,809128630705394;0,914549653579677;0,787650419350918;61;"tags=100%, list=59%, signal=42%";"CLM75_RS03825";"helix-turn-helix-type transcriptional regulator"
"GO:0003824";"MF";"GO:0003824";"catalytic activity";3;0,346534653465347;0,671664708233071;0,888686131386861;0,914549653579677;0,787650419350918;69;"tags=100%, list=66%, signal=35%";"CLM75_RS22720/CLM75_RS20710/CLM75_RS26675";"IscS subfamily cysteine desulfurase/crotonase/enoyl-CoA hydratase family protein/glutamine synthetase"
"GO:0005515";"MF";"GO:0005515";"protein binding";4;-0,27;-0,630628293572488;0,914549653579677;0,914549653579677;0,787650419350918;78;"tags=100%, list=75%, signal=26%";"CLM75_RS01460/CLM75_RS00995/CLM75_RS14715";"biofilm formation protein PelB/PAS domain S-box protein/PAS domain S-box protein"
