"";"category";"ID";"Description";"setSize";"enrichmentScore";"NES";"pvalue";"p.adjust";"qvalue";"rank";"leading_edge";"core_enrichment";"gene.descriptions"
"GO:0031177";"MF";"GO:0031177";"phosphopantetheine binding";3;-0,979929161747344;-1,87781307841565;2,11814926047175e-05;0,00213933075307647;0,00205126033645685;21;"tags=100%, list=2%, signal=98%";"CLM75_RS11010/CLM75_RS11015";"non-ribosomal peptide synthetase/non-ribosomal peptide synthetase"
"GO:0005509";"MF";"GO:0005509";"calcium ion binding";2;-0,992924528301887;-1,6493654908437;0,000109452528305418;0,00552735267942363;0,00529980663373605;9;"tags=100%, list=1%, signal=99%";"CLM75_RS12840";"serine 3-dehydrogenase"
"GO:0003700";"MF";"GO:0003700";"DNA-binding transcription factor activity";62;0,36104715468125;2,09395661360623;0,00022488192163642;0,00757102469509281;0,00725934624229848;465;"tags=89%, list=55%, signal=43%";"CLM75_RS22235/CLM75_RS16155/CLM75_RS23030/CLM75_RS22515/CLM75_RS25455/CLM75_RS08395/CLM75_RS05260/CLM75_RS20430/CLM75_RS01780/CLM75_RS22580/CLM75_RS02130/CLM75_RS17255/CLM75_RS10610/CLM75_RS21465/CLM75_RS20500/CLM75_RS26095/CLM75_RS23150/CLM75_RS17250/CLM75_RS04955/CLM75_RS03400/CLM75_RS27760/CLM75_RS07915/CLM75_RS07445/CLM75_RS03355/CLM75_RS10525/CLM75_RS27750/CLM75_RS00140/CLM75_RS23420/CLM75_RS23330/CLM75_RS09155/CLM75_RS07320/CLM75_RS03575/CLM75_RS05610/CLM75_RS09275/CLM75_RS00680/CLM75_RS05720/CLM75_RS07025/CLM75_RS21440/CLM75_RS06435/CLM75_RS18825/CLM75_RS10460/CLM75_RS10370/CLM75_RS10690/CLM75_RS16245/CLM75_RS27415/CLM75_RS21370/CLM75_RS10065/CLM75_RS05275/CLM75_RS22880/CLM75_RS18465/CLM75_RS09515/CLM75_RS06650/CLM75_RS21445/CLM75_RS25800/CLM75_RS23315";"sigma-70 family RNA polymerase sigma factor/transcriptional regulator/LysR family transcriptional regulator/GntR family transcriptional regulator/LysR family transcriptional regulator/MarR family transcriptional regulator/LysR family transcriptional regulator/GntR family transcriptional regulator/histidine utilization repressor/trehalose operon repressor/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/MurR/RpiR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/DeoR/GlpR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/FadR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/AraC family transcriptional regulator/hydrogen peroxide-inducible genes activator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/LysR family transcriptional regulator/GlxA family transcriptional regulator/LysR family transcriptional regulator"
"GO:0003774";"MF";"GO:0003774";"motor activity";2;0,963443396226415;1,64555267268881;0,002465808672428;0,0622616689788071;0,0596985257535201;33;"tags=100%, list=4%, signal=96%";"CLM75_RS19480/CLM75_RS19420";"flagellar hook-basal body complex protein FliE/flagellar motor switch protein FliM"
"GO:0008137";"MF";"GO:0008137";"NADH dehydrogenase (ubiquinone) activity";4;-0,793144208037825;-1,73991737799584;0,0106434212074359;0,214997108390205;0,206146263386127;180;"tags=100%, list=21%, signal=79%";"CLM75_RS16760/CLM75_RS16775/CLM75_RS16770";"NADH-quinone oxidoreductase subunit J/NADH-quinone oxidoreductase subunit M/NADH-quinone oxidoreductase subunit L"
"GO:0004109";"MF";"GO:0004109";"coproporphyrinogen oxidase activity";3;0,790314133432509;1,6125504564826;0,0271589955787616;0,391865507636417;0,375733472668581;39;"tags=67%, list=5%, signal=64%";"CLM75_RS00115/CLM75_RS20110";"oxygen-dependent coproporphyrinogen oxidase/oxygen-independent coproporphyrinogen III oxidase"
"GO:0004222";"MF";"GO:0004222";"metalloendopeptidase activity";3;-0,801745752384795;-1,53636478856064;0,0250778464922664;0,391865507636417;0,375733472668581;2;"tags=100%, list=0%, signal=100%";"CLM75_RS07225/CLM75_RS12840";"M48 family peptidase/serine 3-dehydrogenase"
"GO:0016651";"MF";"GO:0016651";"oxidoreductase activity, acting on NAD(P)H";3;-0,783943329397875;-1,50225046273252;0,0360025944337243;0,45453275472577;0,435820879987189;187;"tags=100%, list=22%, signal=78%";"CLM75_RS16755/CLM75_RS16765";"NADH-quinone oxidoreductase subunit NuoI/NADH-quinone oxidoreductase subunit K"
"GO:0008237";"MF";"GO:0008237";"metallopeptidase activity";4;-0,708563657366593;-1,55437335149729;0,0462814066678515;0,519380230383667;0,497998761806122;2;"tags=75%, list=0%, signal=75%";"CLM75_RS07225/CLM75_RS11715/CLM75_RS12840";"M48 family peptidase/aminopeptidase N/serine 3-dehydrogenase"
"GO:0009055";"MF";"GO:0009055";"electron transfer activity";10;-0,493833934965015;-1,50361688606509;0,0747826086956522;0,686640316205534;0,658373205741627;206;"tags=70%, list=24%, signal=54%";"CLM75_RS17175/CLM75_RS08860/CLM75_RS23065/CLM75_RS20070/CLM75_RS20080/CLM75_RS00290/CLM75_RS24120";"cytochrome b/succinate dehydrogenase iron-sulfur subunit/cytochrome o ubiquinol oxidase subunit III/cytochrome-c oxidase, cbb3-type subunit II/cytochrome-c oxidase, cbb3-type subunit III/cytochrome c oxidase subunit II/cytochrome ubiquinol oxidase subunit I"
"GO:0004764";"MF";"GO:0004764";"shikimate 3-dehydrogenase (NADP+) activity";2;0,827830188679245;1,41392653149026;0,0684647302904564;0,686640316205534;0,658373205741627;148;"tags=100%, list=17%, signal=83%";"CLM75_RS24210/CLM75_RS00120";"shikimate dehydrogenase/shikimate dehydrogenase"
"GO:0140359";"MF";"GO:0140359";"ABC-type transmembrane transporter activity";2;-0,813679245283019;-1,35161780128521;0,0882917466410749;0,743122200895713;0,712529885173587;161;"tags=100%, list=19%, signal=81%";"CLM75_RS12850";"type I secretion system permease/ATPase"
"GO:0004129";"MF";"GO:0004129";"cytochrome-c oxidase activity";6;-0,553531018423617;-1,40035716858108;0,126605504587156;0,744822709364582;0,71416038834332;117;"tags=83%, list=14%, signal=72%";"CLM75_RS14030/CLM75_RS20065/CLM75_RS23065/CLM75_RS23070/CLM75_RS00290";"cytochrome-c oxidase, cbb3-type subunit I/cytochrome-c oxidase, cbb3-type subunit I/cytochrome o ubiquinol oxidase subunit III/cytochrome o ubiquinol oxidase subunit I/cytochrome c oxidase subunit II"
"GO:0030170";"MF";"GO:0030170";"pyridoxal phosphate binding";5;-0,581008263123101;-1,38029436874178;0,122641509433962;0,744822709364582;0,71416038834332;184;"tags=80%, list=22%, signal=63%";"CLM75_RS08015/CLM75_RS25510/CLM75_RS19715/CLM75_RS18295";"histidinol-phosphate transaminase/aspartate aminotransferase family protein/threonine-phosphate decarboxylase/O-succinylhomoserine sulfhydrylase"
"GO:0003677";"MF";"GO:0003677";"DNA binding";42;0,246997311689582;1,30026107659026;0,134770889487871;0,744822709364582;0,71416038834332;132;"tags=29%, list=16%, signal=25%";"CLM75_RS17840/CLM75_RS22235/CLM75_RS22960/CLM75_RS22515/CLM75_RS19290/CLM75_RS03390/CLM75_RS10245/CLM75_RS10875/CLM75_RS05495/CLM75_RS01780/CLM75_RS02865/CLM75_RS22580";"DNA-binding response regulator/sigma-70 family RNA polymerase sigma factor/DNA-binding response regulator/GntR family transcriptional regulator/DNA-binding response regulator/TetR family transcriptional regulator/XRE family transcriptional regulator/DNA-binding response regulator/DUF2132 domain-containing protein/histidine utilization repressor/TetR family transcriptional regulator/trehalose operon repressor"
"GO:0009486";"MF";"GO:0009486";"cytochrome bo3 ubiquinol oxidase activity";2;-0,781839622641509;-1,29872840906101;0,132437619961612;0,744822709364582;0,71416038834332;188;"tags=100%, list=22%, signal=78%";"CLM75_RS23065";"cytochrome o ubiquinol oxidase subunit III"
"GO:0015344";"MF";"GO:0015344";"siderophore uptake transmembrane transporter activity";2;-0,779312422461302;-1,29453042961053;0,138195777351248;0,744822709364582;0,71416038834332;20;"tags=100%, list=2%, signal=98%";"CLM75_RS11255";"TonB-dependent siderophore receptor"
"GO:0038023";"MF";"GO:0038023";"signaling receptor activity";2;-0,779312422461302;-1,29453042961053;0,138195777351248;0,744822709364582;0,71416038834332;20;"tags=100%, list=2%, signal=98%";"CLM75_RS11255";"TonB-dependent siderophore receptor"
"GO:0016765";"MF";"GO:0016765";"transferase activity, transferring alkyl or aryl (other than methyl) groups";2;-0,778301886792453;-1,29285180992499;0,140115163147793;0,744822709364582;0,71416038834332;191;"tags=100%, list=22%, signal=78%";"CLM75_RS23055";"protoheme IX farnesyltransferase"
"GO:0016829";"MF";"GO:0016829";"lyase activity";4;0,612576126960678;1,34691330230023;0,158940397350993;0,798797848782031;0,765913518373599;208;"tags=75%, list=24%, signal=57%";"CLM75_RS21635/CLM75_RS07250/CLM75_RS25730";"keto-deoxy-phosphogluconate aldolase/4-hydroxy-tetrahydrodipicolinate synthase/low specificity L-threonine aldolase"
"GO:0020037";"MF";"GO:0020037";"heme binding";13;-0,398414313109463;-1,32538716824407;0,171075837742504;0,798797848782031;0,765913518373599;142;"tags=54%, list=17%, signal=46%";"CLM75_RS17180/CLM75_RS23090/CLM75_RS20065/CLM75_RS20070/CLM75_RS20080/CLM75_RS23070/CLM75_RS00290";"catalase/NO-inducible flavohemoprotein/cytochrome-c oxidase, cbb3-type subunit I/cytochrome-c oxidase, cbb3-type subunit II/cytochrome-c oxidase, cbb3-type subunit III/cytochrome o ubiquinol oxidase subunit I/cytochrome c oxidase subunit II"
"GO:0000155";"MF";"GO:0000155";"phosphorelay sensor kinase activity";6;0,502810949791053;1,3064913749672;0,181222707423581;0,798797848782031;0,765913518373599;58;"tags=33%, list=7%, signal=31%";"CLM75_RS19490/CLM75_RS19285";"PAS domain-containing sensor histidine kinase/sensor histidine kinase"
"GO:0050661";"MF";"GO:0050661";"NADP binding";6;0,481938681984059;1,25225739721239;0,224890829694323;0,798797848782031;0,765913518373599;252;"tags=67%, list=30%, signal=47%";"CLM75_RS22230/CLM75_RS00120/CLM75_RS21645/CLM75_RS26450";"type I glyceraldehyde-3-phosphate dehydrogenase/shikimate dehydrogenase/glucose-6-phosphate dehydrogenase/diacylglycerol kinase"
"GO:0016757";"MF";"GO:0016757";"transferase activity, transferring glycosyl groups";3;-0,644984217916081;-1,23596668723977;0,216475095785441;0,798797848782031;0,765913518373599;31;"tags=67%, list=4%, signal=64%";"CLM75_RS09630/CLM75_RS09645";"glycosyltransferase family 1 protein/glycosyl transferase family 1"
"GO:0008270";"MF";"GO:0008270";"zinc ion binding";6;-0,485624886190822;-1,22856401535614;0,229357798165138;0,798797848782031;0,765913518373599;107;"tags=33%, list=13%, signal=29%";"CLM75_RS25430/CLM75_RS12840";"DNA primase/serine 3-dehydrogenase"
"GO:0022857";"MF";"GO:0022857";"transmembrane transporter activity";21;-0,308236100291326;-1,21904648539622;0,228187919463087;0,798797848782031;0,765913518373599;347;"tags=76%, list=41%, signal=46%";"CLM75_RS15065/CLM75_RS11150/CLM75_RS11250/CLM75_RS13720/CLM75_RS13760/CLM75_RS06800/CLM75_RS12080/CLM75_RS16270/CLM75_RS11060/CLM75_RS12830/CLM75_RS09265/CLM75_RS25895/CLM75_RS14065/CLM75_RS06835/CLM75_RS13895/CLM75_RS11025";"MFS transporter/CusA/CzcA family heavy metal efflux RND transporter/ABC transporter substrate-binding protein/MFS transporter/MFS transporter/MFS transporter/RND transporter/carbohydrate ABC transporter substrate-binding protein/MFS transporter/amino acid permease/BCCT transporter/multidrug transporter subunit MdtD/MFS transporter/multidrug efflux RND transporter permease subunit/4-amino-4-deoxy-L-arabinose-phospho-UDP flippase/macrolide transporter subunit MacA"
"GO:0015232";"MF";"GO:0015232";"heme transmembrane transporter activity";2;0,712264150943396;1,21654077638193;0,221991701244813;0,798797848782031;0,765913518373599;246;"tags=100%, list=29%, signal=71%";"CLM75_RS08610/CLM75_RS08605";"heme ABC transporter permease/heme exporter protein CcmB"
