"";"group";"treatment";"replicate";"strain"
"WT_colony_5_S34";"WT";"colony";"5";"WT.5"
"wspE_colony_5_S39";"wspE";"colony";"5";"wspE.5"
"wspE_colony_1_S50";"wspE";"colony";"1";"wspE.1"
"rph_colony_3_S27";"rph";"colony";"3";"rph.3"
"wspF_colony_4_S18";"wspF";"colony";"4";"wspF.4"
"WT_colony_1_S15";"WT";"colony";"1";"WT.1"
"rph_colony_5_S19";"rph";"colony";"5";"rph.5"
"wspF_colony_1_S45";"wspF";"colony";"1";"wspF.1"
"wspF_colony_3_S32";"wspF";"colony";"3";"wspF.3"
"wspF_colony_5_S49";"wspF";"colony";"5";"wspF.5"
"wspF_colony_2_S26";"wspF";"colony";"2";"wspF.2"
"WT_colony_4_S33";"WT";"colony";"4";"WT.4"
"WT_colony_2_S51";"WT";"colony";"2";"WT.2"
"wspE_colony_4_S53";"wspE";"colony";"4";"wspE.4"
"rph_colony_1_S20";"rph";"colony";"1";"rph.1"
"rph_colony_2_S41";"rph";"colony";"2";"rph.2"
"WT_colony_3_S47";"WT";"colony";"3";"WT.3"
"wspE_colony_3_S52";"wspE";"colony";"3";"wspE.3"
"rph_colony_4_S28";"rph";"colony";"4";"rph.4"
"wspE_colony_2_S21";"wspE";"colony";"2";"wspE.2"
