"Locus Tag","Gene Name","Product Description","Strain Name","Accession","GO Term","Namespace","GO Evidence Code","Evidence Ontology ECO Code","Evidence Ontology Term","Similar To \ Binds To","PMID"
"CLM75_RS00005","CLM75_RS00005","chromosomal replication initiator protein DnaA","Pseudomonas lurida MYb11","GO:0043565","sequence-specific DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF48295","PMID:24451626"
"CLM75_RS00005","CLM75_RS00005","chromosomal replication initiator protein DnaA","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF08299","PMID:24451626"
"CLM75_RS00005","CLM75_RS00005","chromosomal replication initiator protein DnaA","Pseudomonas lurida MYb11","GO:0006270","DNA replication initiation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF08299","PMID:24451626"
"CLM75_RS00005","CLM75_RS00005","chromosomal replication initiator protein DnaA","Pseudomonas lurida MYb11","GO:0006275","regulation of DNA replication","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF08299","PMID:24451626"
"CLM75_RS00005","CLM75_RS00005","chromosomal replication initiator protein DnaA","Pseudomonas lurida MYb11","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00362","PMID:24451626"
"CLM75_RS00005","CLM75_RS00005","chromosomal replication initiator protein DnaA","Pseudomonas lurida MYb11","GO:0003688","DNA replication origin binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00362","PMID:24451626"
"CLM75_RS00015","CLM75_RS00015","DNA replication and repair protein RecF","Pseudomonas lurida MYb11","GO:0003697","single-stranded DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00365","PMID:24451626"
"CLM75_RS00015","CLM75_RS00015","DNA replication and repair protein RecF","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00365","PMID:24451626"
"CLM75_RS00015","CLM75_RS00015","DNA replication and repair protein RecF","Pseudomonas lurida MYb11","GO:0006281","DNA repair","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00365","PMID:24451626"
"CLM75_RS00020","gyrB","DNA topoisomerase (ATP-hydrolyzing) subunit B","Pseudomonas lurida MYb11","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00986","PMID:24451626"
"CLM75_RS00020","gyrB","DNA topoisomerase (ATP-hydrolyzing) subunit B","Pseudomonas lurida MYb11","GO:0003918","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00986","PMID:24451626"
"CLM75_RS00020","gyrB","DNA topoisomerase (ATP-hydrolyzing) subunit B","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00986","PMID:24451626"
"CLM75_RS00020","gyrB","DNA topoisomerase (ATP-hydrolyzing) subunit B","Pseudomonas lurida MYb11","GO:0006265","DNA topological change","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00986","PMID:24451626"
"CLM75_RS00020","gyrB","DNA topoisomerase (ATP-hydrolyzing) subunit B","Pseudomonas lurida MYb11","GO:0005694","chromosome","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_01898","PMID:24451626"
"CLM75_RS00025","CLM75_RS00025","DNA-binding response regulator","Pseudomonas lurida MYb11","GO:0000160","phosphorelay signal transduction system","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00862","PMID:24451626"
"CLM75_RS00025","CLM75_RS00025","DNA-binding response regulator","Pseudomonas lurida MYb11","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00862","PMID:24451626"
"CLM75_RS00025","CLM75_RS00025","DNA-binding response regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00862","PMID:24451626"
"CLM75_RS00025","CLM75_RS00025","DNA-binding response regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00862","PMID:24451626"
"CLM75_RS00035","CLM75_RS00035","ATPase","Pseudomonas lurida MYb11","GO:0016310","phosphorylation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00344","PMID:24451626"
"CLM75_RS00035","CLM75_RS00035","ATPase","Pseudomonas lurida MYb11","GO:0016772","transferase activity, transferring phosphorus-containing groups","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00344","PMID:24451626"
"CLM75_RS00035","CLM75_RS00035","ATPase","Pseudomonas lurida MYb11","GO:0000155","phosphorelay sensor kinase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF47384","PMID:24451626"
